category,coordinates,startTime,endTime,from,to,type
Jam,"(-118.5994506577, 34.2273447412)",2024-03-11 05:47:00+00:00,2024-03-11 06:08:30+00:00,Parthenia St,Canoga Ave / Chase St,Feature
Road Closed,"(-118.5792160729, 34.0400782445)",2024-03-09 15:30:00+00:00,,Pacific Coast Hwy,Rodeo Grounds Ln,Feature
Road Closed,"(-118.597772936, 34.0816833451)",2024-03-09 15:30:00+00:00,,Fernwood Pacific Dr (CA-27),CA-1/Pacific Coast Hwy (CA-27),Feature
Road Closed,"(-118.5789706508, 34.0408185762)",2024-03-09 15:30:00+00:00,,CA-1/Pacific Coast Hwy (CA-27),Fernwood Pacific Dr (CA-27),Feature
Road Closed,"(-118.5673526625, 34.175784609)",2024-03-10 02:55:30+00:00,,Hatteras St,Martha St,Feature
Road Works,"(-118.5425851444, 34.0389463767)",2024-03-11 03:33:00+00:00,,Temescal Canyon Rd (Pacific Coast Hwy/CA-1),Sunset Blvd (Pacific Coast Hwy/CA-1),Feature
Road Closed,"(-118.53173695, 34.2358339511)",2022-03-22 17:04:00+00:00,,Prairie St,Prairie St / Matador Walk,Feature
Road Closed,"(-118.531684647, 34.2384115005)",2024-02-24 04:49:30+00:00,,Prairie St,Prairie St / Matador Walk,Feature
Road Closed,"(-118.5316766003, 34.2390566205)",2024-02-24 04:49:30+00:00,,Prairie St,Prairie St / Matador Walk,Feature
Jam,"(-118.4996174971, 34.0154287823)",2024-03-11 05:40:00+00:00,2024-03-11 06:08:30+00:00,Ocean Ave,2nd St,Feature
Road Closed,"(-118.4867214361, 34.0684694581)",2024-03-08 23:07:30+00:00,,Hanley Ave,Tuallitan Rd,Feature
Road Closed,"(-118.4844375352, 34.0663974112)",2024-03-09 02:19:30+00:00,,Tuallitan Rd,Hanley Ave,Feature
Road Closed,"(-118.4794164399, 34.1213478157)",2024-02-12 19:58:00+00:00,,Skirball Ctr Dr exit [61],Skirball Center Dr,Feature
Jam,"(-118.467418919, 34.0003949596)",2024-03-11 05:43:30+00:00,2024-03-11 06:08:30+00:00,Lincoln Blvd,6th Ave,Feature
Road Works,"(-118.467227141, 34.2308396681)",2024-01-31 21:43:30+00:00,,Columbus Ave,Sepulveda Blvd,Feature
Jam,"(-118.4617031315, 34.0502813897)",2024-03-11 05:20:30+00:00,2024-03-11 06:08:30+00:00,S Barrington Ave,Granville Ave,Feature
Jam,"(-118.4517802993, 34.0659267117)",2024-03-11 05:35:30+00:00,2024-03-11 06:20:30+00:00,Levering Ave,Strathmore Dr,Feature
Road Closed,"(-118.4503037432, 34.2669743502)",2024-01-15 05:13:00+00:00,,Bartee Ave,Arleta Ave,Feature
Road Closed,"(-118.4507784942, 34.2666270298)",2024-01-15 01:45:00+00:00,,Arleta Ave,Bartee Ave,Feature
