id,geometry_type,geometry_coordinates,from,to,startTime,endTime,category,roadNumbers,length,delay
4dd998ddb4af6cc65eb1e0c4fae986e0,LineString,"((-73.9452826078, 40.7529111436), (-73.9457586999, 40.7531176944), (-73.9461959, 40.7533148473), (-73.9464480276, 40.7534207572))",Ed Koch Queensboro Brg,Vernon Blvd,2024-03-17 11:06:00+00:00,2024-03-17 11:26:00+00:00,6,(),113.3562747116,52.0
b9b775d417f0ae40234ba1032ff60563,LineString,"((-73.9819819326, 40.6834312235), (-73.9815594847, 40.6840440844), (-73.9811155791, 40.6846824911), (-73.9806824024, 40.6853154891))",Union St (3rd Ave),Atlantic Ave (3rd Ave),2024-03-17 11:06:00+00:00,2024-03-17 11:26:00+00:00,6,(),236.4455108771,138.0
df3a756cce3caff8f0749b785be43827,LineString,"((-73.8712214525, 40.7725113721), (-73.8714641924, 40.772562344), (-73.8715567286, 40.7725811331), (-73.8717216844, 40.7726079838), (-73.8718893225, 40.7726307719), (-73.8721347446, 40.7726575591), (-73.8722916539, 40.7726682867), (-73.8724914784, 40.7726817438), (-73.87262693, 40.7726857428), (-73.8728160257, 40.7726857428), (-73.8729850049, 40.7726830768), (-73.8731727595, 40.7726736822), (-73.8734181816, 40.7726522271), (-73.8736555571, 40.7726253764))",Terminal B Arrivals,Grand Central Parkway Service Rd,2024-03-17 11:06:00+00:00,2024-03-17 11:26:00+00:00,6,(),207.3009846335,180.0
797c72abf2791231be2a246f03784434,LineString,"((-73.9500140245, 40.6698874151), (-73.9504981632, 40.6699142437), (-73.9516944284, 40.6699812515), (-73.9532635207, 40.6700711461), (-73.9542586203, 40.6701113888), (-73.9545389111, 40.6701288082), (-73.9548433418, 40.6701475627), (-73.9550243909, 40.6701556367), (-73.9551813002, 40.6701649822), (-73.9552456732, 40.670170386))",Buffalo Ave (Eastern Pkwy),Bedford Ave (Eastern Pkwy),2024-03-17 11:05:30+00:00,2024-03-17 11:26:00+00:00,6,(),442.373772527,178.0
76c18b1daa3e12c667696ad7dab6305c,LineString,"((-74.1542360778, 40.6102632217), (-74.1542065735, 40.610385267), (-74.1541381772, 40.6106588819), (-74.1540349122, 40.6110544762), (-74.1538712974, 40.6116485949), (-74.153814971, 40.611852466))",Victory Blvd/Exit 11 (NY-440),I-278/Exit 10 (NY-440),2024-03-17 11:05:30+00:00,2024-03-17 11:26:00+00:00,6,(),180.2624081889,93.0
aa6545cdf3ac01e4b05971806f863c42,LineString,"((-73.8324662144, 40.868259578), (-73.8325560684, 40.8684352184), (-73.8325735028, 40.8684714747), (-73.8326244647, 40.8685693412), (-73.8327746684, 40.8688804975), (-73.8329248721, 40.8691915889), (-73.8329691286, 40.8692855245), (-73.8330039973, 40.8693605715), (-73.8331394489, 40.86965835), (-73.8331555421, 40.8696945422), (-73.8332078452, 40.8698219438), (-73.8333929176, 40.8702698756), (-73.8334304685, 40.8703744581), (-73.8335162992, 40.870610497), (-73.8336329753, 40.8709591662), (-73.8337295348, 40.8712663181), (-73.8338180477, 40.8715734052), (-73.8339186306, 40.8719502743), (-73.833937406, 40.8720240506), (-73.8339950735, 40.8722587526), (-73.8340446944, 40.87248401), (-73.834064811, 40.8725712225), (-73.8341077263, 40.8727898238), (-73.8341493005, 40.8730674319), (-73.8341653938, 40.8731787283), (-73.8341989214, 40.8734724333), (-73.8342337901, 40.8739418262), (-73.8342364723, 40.8740343607), (-73.8342404957, 40.8741268951), (-73.834244519, 40.8744205959), (-73.8342364723, 40.8748819329), (-73.834219038, 40.8754129831), (-73.8341881926, 40.8759092345), (-73.8341734404, 40.8760875799), (-73.8341506417, 40.8762914026), (-73.8341184551, 40.8765153787), (-73.8340674932, 40.8767835913), (-73.8340326245, 40.8769365201), (-73.8339964146, 40.8770732875), (-73.8339736159, 40.8771510509))",Gun Hill Rd/Exit 10 (I-95),Conner St/Exit 13 (I-95),2024-03-17 11:05:00+00:00,2024-03-17 11:25:00+00:00,6,"('I-95 N',)",1010.4194749799,45.0
2125350de10121dd2ccfeb6f54abfa21,LineString,"((-73.8366464371, 40.8441237009), (-73.8365793819, 40.8443677593), (-73.8364935512, 40.8446467547), (-73.8364224727, 40.8448948059), (-73.8363004322, 40.8454191852), (-73.8362588579, 40.8455693965), (-73.8362025315, 40.8458175077), (-73.8361649806, 40.8461406913), (-73.8360643978, 40.8471546163))",Hutchinson River Pkwy/Westchester Ave (Hutchinson River Pkwy Frontage),Hutchinson River Pkwy/Pelham Pkwy (Hutchinson River Pkwy Frontage),2024-03-17 11:04:30+00:00,2024-03-17 11:26:00+00:00,6,(),341.1904131803,204.0
9cfc9d416d9151a414f5569d81e5c8e0,LineString,"((-73.9940035935, 40.6607893673), (-73.9954171176, 40.6616422706), (-73.995948195, 40.6619601196), (-73.9961976404, 40.6621157055))",5th Ave,Gowanus Expy E,2024-03-17 11:04:00+00:00,2024-03-17 11:26:00+00:00,6,(),236.6484621671,178.0
d6bfb6e9be8ada673dd7fb98a1c485c7,LineString,"((-74.1767626102, 40.6931461409), (-74.1767103072, 40.693351352), (-74.1766861673, 40.6935431529), (-74.1766740974, 40.6937080708), (-74.1766647096, 40.6938207485), (-74.176695555, 40.6940407016), (-74.1767746802, 40.6943464485), (-74.1768444176, 40.6945235026), (-74.1769409771, 40.6946951545), (-74.1770361956, 40.6948399874), (-74.1771609183, 40.6949995638), (-74.1772615011, 40.6951014993), (-74.1773674484, 40.6951980328), (-74.1775632496, 40.6953415301), (-74.1777536865, 40.6954407959), (-74.1779414411, 40.6955172471), (-74.1781814988, 40.6955923635), (-74.1784269209, 40.6956554054), (-74.1785985823, 40.6956915655), (-74.1787072118, 40.6957023055))",Express Rd,Express Rd,2024-03-17 11:04:00+00:00,2024-03-17 11:26:00+00:00,6,(),371.2687904749,188.0
4325c33b0c54ec169e2940dcec944fb3,LineString,"((-73.9773779209, 40.6934278055), (-73.9778365786, 40.693447888), (-73.9785057898, 40.6934640303), (-73.9791267212, 40.6934827783))",Bedford Ave (Myrtle Ave),Flatbush Ave (Myrtle Ave),2024-03-17 11:02:30+00:00,2024-03-17 11:26:00+00:00,6,(),147.5740130751,135.0
